task,model_id,baseline_id,control_family,analysis_role,added_feature_set,mean_delta_r2,sd_delta_r2,r2_wins_out_of_5,mean_delta_rmse,sd_delta_rmse,rmse_wins_out_of_5,mean_delta_mae,sd_delta_mae,mae_wins_out_of_5,pooled_delta_r2,pooled_delta_rmse,pooled_delta_mae
EPC,EPC_controls_sparse__plus__DINOv2,EPC_controls_sparse,EPC_sparse,single_representation,DINOv2,0.20325392826666722,0.048230810571689584,5,-0.9595375952739922,0.2676986924290079,5,-0.8582437505096069,0.17684777868725723,5,0.20177376843132055,-0.953247350041674,-0.856206274282675
EPC,EPC_controls_sparse__plus__Location_and_EO,EPC_controls_sparse,EPC_sparse,theory_fusion,Location_and_EO,0.15548119124675902,0.05030915222200697,5,-0.7233199599924388,0.2648660855565991,5,-0.5746422246177225,0.20871601771170067,5,0.15457211744240218,-0.7179572078419643,-0.5723299407718594
EPC,EPC_controls_sparse__plus__TESSERA,EPC_controls_sparse,EPC_sparse,single_representation,TESSERA,0.13015176848389018,0.04542234012013001,5,-0.6005103962424363,0.2353019569224644,5,-0.45342777574012416,0.17623085242796604,5,0.12967141382520908,-0.5971362986823099,-0.45268743562258784
EPC,EPC_controls_sparse__plus__StreetView_CLIP_plus_metadata,EPC_controls_sparse,EPC_sparse,single_representation_plus_metadata,StreetView_CLIP_plus_metadata,0.12668425945677386,0.028533112212975706,5,-0.5791539326472332,0.14155828164773876,5,-0.5412817475292131,0.09311520874334495,5,0.1250653808441884,-0.5750235629772984,-0.5385891433606016
EPC,EPC_controls_sparse__plus__StreetView_CLIP_only,EPC_controls_sparse,EPC_sparse,single_representation,StreetView_CLIP_only,0.10788817474470877,0.020280970797649896,5,-0.48881324887521044,0.09460628611433931,5,-0.48720364516465364,0.08071106155668793,5,0.10630094414082658,-0.48567535743881063,-0.48484788904842535
EPC,EPC_controls_sparse__plus__AlphaEarth,EPC_controls_sparse,EPC_sparse,single_representation,AlphaEarth,0.07307325694331844,0.028994374025692556,5,-0.3305648582230113,0.1426450170391082,5,-0.2857516960552486,0.13570124497319128,5,0.07277362955956446,-0.3288639255160266,-0.2841767895489866
EPC,EPC_controls_sparse__plus__StreetView_metadata_only,EPC_controls_sparse,EPC_sparse,coverage_metadata,StreetView_metadata_only,0.032941493967903954,0.014836926481774091,5,-0.14661671971321882,0.0688854688576847,5,-0.11697146907607703,0.05557414427960878,5,0.03260725440930512,-0.14549496111853788,-0.11554135579352476
EPC,EPC_controls_sparse__plus__SatCLIP,EPC_controls_sparse,EPC_sparse,single_representation,SatCLIP,0.0032340481975657643,0.009348418509164623,4,-0.014094544280212418,0.039810329125726296,4,-0.011380360226054442,0.04862119239821568,4,0.002954056998296317,-0.013062228142836751,-0.011039605802207753
PTAL,PTAL_spatial_baseline__plus__All_representations_plus_SV_metadata,PTAL_spatial_baseline,PTAL_spatial,full_fusion_plus_metadata,All_representations_plus_SV_metadata,0.291650640367751,0.09365275636941335,5,-2.4184599549585344,1.011144398537203,5,-1.5976030778484391,0.7306147874082471,5,0.3024119730237129,-2.4804354785951777,-1.6003298366358347
PTAL,PTAL_spatial_baseline__plus__All_representations_without_SV_metadata,PTAL_spatial_baseline,PTAL_spatial,full_fusion,All_representations_without_SV_metadata,0.28784499202552183,0.09366107017637196,5,-2.382515592334491,1.0052666531942753,5,-1.5473563694621697,0.7184664914682345,5,0.2988647164486644,-2.4452049652060532,-1.5501459977294099
PTAL,PTAL_spatial_baseline__plus__Street_and_sky,PTAL_spatial_baseline,PTAL_spatial,theory_fusion,Street_and_sky,0.2759218685881797,0.0915088545450523,5,-2.256345093987311,0.9483065849189306,5,-1.4803361309664242,0.6815232494120099,5,0.28558033182700504,-2.3151220997038484,-1.4829752578886608
PTAL,PTAL_spatial_baseline__plus__StreetView_CLIP_plus_metadata,PTAL_spatial_baseline,PTAL_spatial,single_representation_plus_metadata,StreetView_CLIP_plus_metadata,0.2619164094360774,0.09022710027347267,5,-2.1264157493482787,0.9200330452566217,5,-1.5359771178373656,0.660835959486574,5,0.27135686754984556,-2.1789271363299516,-1.5386316125180866
PTAL,PTAL_spatial_baseline__plus__Sky_and_space,PTAL_spatial_baseline,PTAL_spatial,theory_fusion,Sky_and_space,0.24758820308282523,0.09085702458385221,5,-2.008844138658886,0.9439410022836547,5,-1.323668414864699,0.7819687103453162,5,0.2601586560806458,-2.0738091398759497,-1.3267534339267302
PTAL,PTAL_spatial_baseline__plus__StreetView_CLIP_only,PTAL_spatial_baseline,PTAL_spatial,single_representation,StreetView_CLIP_only,0.21572657729782904,0.09958291706898656,5,-1.7401614758791826,0.945405489419076,5,-1.067359619789101,0.6056029139060379,5,0.22988267285747355,-1.7981622644184556,-1.0699064824517084
PTAL,PTAL_spatial_baseline__plus__Location_and_EO,PTAL_spatial_baseline,PTAL_spatial,theory_fusion,Location_and_EO,0.2116428834995236,0.12435282371367601,5,-1.7626691498360245,1.1596339685463386,5,-1.0908199093165667,0.8553254428552879,5,0.23394447469985857,-1.8344560795972296,-1.0938226284539736
PTAL,PTAL_spatial_baseline__plus__AlphaEarth,PTAL_spatial_baseline,PTAL_spatial,single_representation,AlphaEarth,0.2086878277976813,0.11561743432193339,5,-1.7270829185976602,1.0694840752086072,5,-1.0994480784151945,0.6624682150120096,5,0.22989887711361068,-1.7983066509305923,-1.102507060358394
PTAL,PTAL_spatial_baseline__plus__DINOv2,PTAL_spatial_baseline,PTAL_spatial,single_representation,DINOv2,0.20683198883866308,0.0768856921874749,5,-1.6271898179055193,0.7592289709970331,5,-1.0857606760796923,0.6729319902453419,5,0.21686373865854958,-1.683182404607428,-1.0888146538774226
PTAL,PTAL_spatial_baseline__plus__TESSERA,PTAL_spatial_baseline,PTAL_spatial,single_representation,TESSERA,0.07875073552349406,0.06707854907464648,5,-0.6114407267294422,0.5312552533906164,5,-0.36335469986930435,0.48537420480893667,3,0.0906003798796029,-0.6577375397012251,-0.3647648529292109
PTAL,PTAL_spatial_baseline__plus__StreetView_metadata_only,PTAL_spatial_baseline,PTAL_spatial,coverage_metadata,StreetView_metadata_only,0.06944710006139329,0.017243107303887024,5,-0.4905410447452505,0.1350857304834843,5,-0.4490371598257722,0.20920362941822926,5,0.0692977402209215,-0.4980723633264832,-0.4492442602123825
PTAL,PTAL_spatial_baseline__plus__SatCLIP,PTAL_spatial_baseline,PTAL_spatial,single_representation,SatCLIP,-0.006195068265927051,0.02904888016772455,2,0.03171961720669696,0.2056206525826777,2,0.0002849667092679198,0.48654449015859047,2,-0.003923913956456526,0.02730747370731379,-0.0017789669654622031
