task,model_id,mean_delta_r2_gatv2_minus_mlp,sd_delta_r2,r2_wins_out_of_5,mean_delta_rmse_gatv2_minus_mlp,rmse_wins_out_of_5,mean_delta_mae_gatv2_minus_mlp,mae_wins_out_of_5
EPC,EPC_controls_extensive,-0.0008287549018859864,0.005659533134486139,2,0.0073155813365870515,2,-0.008590078353882013,2
EPC,EPC_controls_extensive__plus__TESSERA,-0.041049396991729735,0.008781831457992927,0,0.2607742121831825,0,0.2244778156280515,0
EPC,EPC_controls_sparse,-0.04650605916976928,0.08805055833272286,1,0.19619603058544702,1,0.18375415802001988,1
EPC,EPC_controls_sparse__plus__All_representations_plus_SV_metadata,-0.13329434394836426,0.04634420176646707,0,0.6585610797669821,0,0.5987153053283691,0
EPC,EPC_controls_sparse__plus__DINOv2,-0.09211288690567015,0.02946889869487485,0,0.446190993048884,0,0.3629935264587402,0
PTAL,PTAL_spatial_baseline,0.02532085180282593,0.04194749397370843,3,-0.18993992577545474,3,-0.17772130966186522,4
PTAL,PTAL_spatial_baseline__plus__All_representations_plus_SV_metadata,-0.11590983867645263,0.06312522985433157,0,1.0049197949738415,0,0.536044692993164,0
PTAL,PTAL_spatial_baseline__plus__DINOv2,-0.05812922716140747,0.10638834864780576,3,0.4495332780140819,3,0.20966606140136718,2
